"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C101","0.01u","C_0402_1005Metric",170.200000,-119.700000,90.000000,bottom
"C102","0.1u","C_0402_1005Metric",171.900000,-119.700000,90.000000,bottom
"C103","0.47u","C_0402_1005Metric",162.700000,-108.200000,0.000000,bottom
"IC101","PIC16F1459-ISS","SSOP-20_5.3x7.2mm_P0.65mm",165.375000,-115.200000,90.000000,bottom
"J101","532610571","CONN_532610001-SD_05_MOL",168.300000,-102.7000000,180.000000,bottom
"J103","532610271","CONN_532610001-SD_02_MOL",191.100000,-105.795499,0.000000,bottom
"J105","532610271","CONN_532610001-SD_02_MOL",131.575000,-105.795499,0.000000,bottom
"J104","532610271","CONN_532610001-SD_02_MOL",142.895499,-136.970640,-90.000000,bottom
"J106","532610271","CONN_532610001-SD_02_MOL",106.004501,-136.995640,90.000000,bottom
"R101","10k","R_0603_1608Metric",178.800000,-120.900000,-90.000000,bottom
"R102","10k","R_0603_1608Metric",182.000000,-120.900000,-90.000000,bottom
"R103","10k","R_0603_1608Metric",175.600000,-120.900000,-90.000000,bottom
"R106","10k","R_0603_1608Metric",144.300000,-121.300000,-90.000000,bottom
"R108","10k","R_0603_1608Metric",150.200000,-120.300000,-90.000000,bottom
"R112","10k","R_0603_1608Metric",142.900000,-110.800000,90.000000,bottom
"R113","10k","R_0603_1608Metric",147.200000,-95.000000,180.000000,bottom
